Image ID,Resolution,File Size (KB),Color Depth,Format,Processing Mode
005_bird-1045954_640,640x426,55.22,uint8,.jpg,GPU
006_bird-1905255_640,640x427,59.33,uint8,.jpg,GPU
002_hummingbird-1854225_640,640x459,41.42,uint8,.jpg,GPU
003_parrot-3601194_640,640x427,64.08,uint8,.jpg,GPU
001_owl-50267_1280,1280x961,446.31,uint8,.jpg,GPU
004_kingfisher-2046453_640,640x427,50.21,uint8,.jpg,GPU
007_bird-2295436_640,640x427,49.04,uint8,.jpg,GPU
008_kingfisher-881594_640,640x360,34.48,uint8,.jpg,GPU
009_swan-16736_640,640x427,60.52,uint8,.jpg,GPU
010_dove-2516641_640,640x355,40.72,uint8,.jpg,GPU
011_swan-2350668_640,640x394,78.25,uint8,.jpg,GPU
012_spring-bird-2295434_640,640x427,86.95,uint8,.jpg,GPU
013_swan-2077219_640,640x427,107.23,uint8,.jpg,GPU
014_bird-9950_640,640x400,49.21,uint8,.jpg,GPU
015_owl-1834152_640,640x427,44.48,uint8,.jpg,GPU
016_bird-2295431_640,640x427,81.69,uint8,.jpg,GPU
017_hummingbird-2139279_640,640x422,30.0,uint8,.jpg,GPU
018_jay-548381_640,640x427,51.7,uint8,.jpg,GPU
019_parrot-2756488_640,640x427,104.39,uint8,.jpg,GPU
020_beach-1852945_640,640x426,76.72,uint8,.jpg,GPU
021_mountains-100367_640,640x425,36.03,uint8,.jpg,GPU
022_hummingbird-1823829_640,441x640,52.66,uint8,.jpg,GPU
023_kingfisher-1068684_640,640x640,125.96,uint8,.jpg,GPU
024_owl-1576572_640,640x427,153.17,uint8,.jpg,GPU
025_gull-1090835_640,640x201,20.39,uint8,.jpg,GPU
026_bird-349026_640,640x427,66.53,uint8,.jpg,GPU
027_bird-386725_640,580x640,92.5,uint8,.jpg,GPU
028_bird-3158784_640,640x437,36.88,uint8,.jpg,GPU
029_kingfisher-3159334_640,640x427,106.82,uint8,.jpg,GPU
030_kingfisher-2363879_640,640x427,31.12,uint8,.jpg,GPU
031_swan-4013225_640,640x457,58.0,uint8,.jpg,GPU
032_grey-crowned-cranes-540657_640,640x428,82.52,uint8,.jpg,GPU
033_hummingbird-2139278_640,640x445,31.41,uint8,.jpg,GPU
034_white-tailed-eagle-2015098_640,640x381,71.74,uint8,.jpg,GPU
035_barn-owl-1107397_640,640x320,34.65,uint8,.jpg,GPU
036_bald-eagle-2715461_640,640x480,39.84,uint8,.jpg,GPU
037_bird-3732867_640,640x426,120.67,uint8,.jpg,GPU
038_flowers-1835619_640,640x426,57.25,uint8,.jpg,GPU
039_barn-owl-2988291_640,640x427,38.99,uint8,.jpg,GPU
040_kingfisher-881975_640,640x360,35.89,uint8,.jpg,GPU
041_owl-3184032_640,640x469,88.89,uint8,.jpg,GPU
042_bird-341898_640,640x425,47.56,uint8,.jpg,GPU
043_peafowl-816981_640,431x640,73.33,uint8,.jpg,GPU
044_owl-1845060_640,640x427,68.13,uint8,.jpg,GPU
045_seagulls-815304_640,640x427,61.84,uint8,.jpg,GPU
046_cardinal-1884283_640,640x426,65.88,uint8,.jpg,GPU
047_winter-843578_640,640x452,52.28,uint8,.jpg,GPU
049_peacock-90051_640,640x360,153.37,uint8,.jpg,GPU
048_swan-2107052_640,640x366,51.0,uint8,.jpg,GPU
050_sparrows-3434123_640,640x427,69.69,uint8,.jpg,GPU
051_dove-2680487_640,640x427,26.6,uint8,.jpg,GPU
052_peacock-feathers-3013486_640,640x427,175.45,uint8,.jpg,GPU
053_seagull-3465550_640,640x440,24.1,uint8,.jpg,GPU
054_hummingbird-5255827_640,640x414,38.92,uint8,.jpg,GPU
055_gull-192909_640,640x427,50.92,uint8,.jpg,GPU
056_chaffinch-1420407_640,640x427,56.27,uint8,.jpg,GPU
057_beach-832346_640,640x430,67.81,uint8,.jpg,GPU
058_eagle-1072696_640,640x441,53.78,uint8,.jpg,GPU
059_bird-3743094_640,640x423,68.61,uint8,.jpg,GPU
060_peacock-3080897_640,640x338,105.91,uint8,.jpg,GPU
061_bird-4060696_640,640x378,29.55,uint8,.jpg,GPU
062_bird-4051412_640,427x640,49.79,uint8,.jpg,GPU
063_peacock-3617474_640,640x422,180.95,uint8,.jpg,GPU
064_bird-7576994_640,640x427,20.08,uint8,.jpg,GPU
065_eagle-1753002_640,640x427,46.22,uint8,.jpg,GPU
066_bird-2823767_640,640x427,80.22,uint8,.jpg,GPU
067_plumage-176723_640,640x459,167.56,uint8,.jpg,GPU
068_bald-eagle-521492_640,640x372,10.47,uint8,.jpg,GPU
069_halcyon-1352522_640,640x424,28.45,uint8,.jpg,GPU
070_sea-1377712_640,640x401,23.63,uint8,.jpg,GPU
071_rooster-1867562_640,640x427,79.02,uint8,.jpg,GPU
072_parrots-3427188_640,640x427,86.11,uint8,.jpg,GPU
073_swan-3466606_640,640x380,38.98,uint8,.jpg,GPU
074_swan-122983_640,640x427,34.12,uint8,.jpg,GPU
075_swan-293157_640,640x425,12.78,uint8,.jpg,GPU
076_duckling-3524213_640,640x427,66.58,uint8,.jpg,GPU
077_eagle-339128_640,640x424,52.19,uint8,.jpg,GPU
078_red-kite-50498_640,640x325,57.16,uint8,.jpg,GPU
079_flamingo-600205_640,640x331,48.47,uint8,.jpg,GPU
080_victoria-crowned-pigeon-4486154_640,457x640,96.55,uint8,.jpg,GPU
081_eagle-2045655_640,545x640,91.21,uint8,.jpg,GPU
082_kingfisher-1850226_640,640x457,36.95,uint8,.jpg,GPU
083_hummingbird-5111260_640,520x640,62.09,uint8,.jpg,GPU
084_barn-owl-2550068_640,640x360,58.89,uint8,.jpg,GPU
085_gulls-370012_640,640x425,51.05,uint8,.jpg,GPU
086_bluetit-in-winter,524x328,83.03,uint8,.jpg,GPU
087_owl-3649048_640,640x427,74.55,uint8,.jpg,GPU
088_robin-on-snow-covered-tree-winter-scene-christmas-scene,371x464,103.51,uint8,.jpg,GPU
089_robin-8446944_640,640x426,30.28,uint8,.jpg,GPU
090_bird-3183441_640,640x427,62.38,uint8,.jpg,GPU
091_birds-4551002_640,640x427,46.61,uint8,.jpg,GPU
092_peafowl-2363750_640,640x424,145.92,uint8,.jpg,GPU
093_beautiful-winter-scenery-with-european-finch-birds-perched-on-the-branch-within-a-heavy,509x339,62.33,uint8,.jpg,GPU
094_starling-in-autumn,509x339,93.66,uint8,.jpg,GPU
095_starling-in-autumn,509x339,127.07,uint8,.jpg,GPU
096_european-robin-isolated-on-white-background,509x339,46.49,uint8,.jpg,GPU
097_lark-on-a-white-background,509x339,28.49,uint8,.jpg,GPU
098_dove-2516641_1280,1280x710,143.78,uint8,.jpg,GPU
099_bird-2295436_1280,1280x853,143.42,uint8,.jpg,GPU
100_mountains-100367_1280,1280x849,116.83,uint8,.jpg,GPU
101_kingfisher-881594_1280,1280x720,141.74,uint8,.jpg,GPU
102_flock-of-fieldfares-on-rowan-tree,509x339,108.89,uint8,.jpg,GPU
103_swan-16736_1280,1280x853,181.87,uint8,.jpg,GPU
104_kingfisher-1068684_1280,1280x1280,414.14,uint8,.jpg,GPU
105_bird-349026_1280,1280x853,224.33,uint8,.jpg,GPU
106_bird-3732867_1280,1280x852,495.67,uint8,.jpg,GPU
107_barn-owl-2988291_1280,1280x853,142.48,uint8,.jpg,GPU
108_kingfisher-881975_1280,1280x720,141.41,uint8,.jpg,GPU
109_cardinal-1884283_1280,1280x852,219.67,uint8,.jpg,GPU
110_gull-192909_1280,1280x853,155.77,uint8,.jpg,GPU
111_beach-832346_1280,1280x859,273.28,uint8,.jpg,GPU
112_peacock-90051_1280,1280x721,605.08,uint8,.jpg,GPU
113_sparrows-3434123_1280,1280x853,244.67,uint8,.jpg,GPU
114_swan-3466606_1280,1280x761,125.23,uint8,.jpg,GPU
115_bird-7576994_1280,1280x853,118.95,uint8,.jpg,GPU
116_flamingo-600205_1280,1280x662,153.34,uint8,.jpg,GPU
117_plumage-176723_1280,1280x917,725.64,uint8,.jpg,GPU
118_victoria-crowned-pigeon-4486154_1280,914x1280,389.72,uint8,.jpg,GPU
119_bird-386725_1280,1160x1280,283.78,uint8,.jpg,GPU
120_bird-1905255_1280,1280x853,187.1,uint8,.jpg,GPU
121_parrot-3601194_1280,1280x853,206.19,uint8,.jpg,GPU
122_hummingbird-1854225_1280,1280x918,189.69,uint8,.jpg,GPU
123_swan-2350668_1280,1280x788,268.56,uint8,.jpg,GPU
124_hummingbird-1823829_1280,883x1280,205.78,uint8,.jpg,GPU
125_owl-3649048_1280,1280x853,263.04,uint8,.jpg,GPU
126_kingfisher-2046453_1280,1280x853,182.03,uint8,.jpg,GPU
127_bird-341898_1280,1280x850,176.59,uint8,.jpg,GPU
128_white-tailed-eagle-2015098_1280,1280x761,230.91,uint8,.jpg,GPU
129_hummingbird-2139278_1280,1280x890,103.64,uint8,.jpg,GPU
130_seagulls-815304_1280,1280x853,199.15,uint8,.jpg,GPU
131_hummingbird-5255827_1280,1280x828,153.18,uint8,.jpg,GPU
132_chaffinch-1420407_1280,1280x853,229.24,uint8,.jpg,GPU
133_peacock-3080897_1280,1280x675,316.68,uint8,.jpg,GPU
134_winter-843578_1280,1280x904,182.61,uint8,.jpg,GPU
135_sea-1377712_1280,1280x803,107.33,uint8,.jpg,GPU
136_halcyon-1352522_1280,1280x848,97.12,uint8,.jpg,GPU
137_eagle-2045655_1280,1090x1280,353.64,uint8,.jpg,GPU
138_bird-3743094_1280,1280x845,211.07,uint8,.jpg,GPU
139_rooster-1867562_1280,1280x853,241.82,uint8,.jpg,GPU
140_birds-4551002_1280,1280x853,149.53,uint8,.jpg,GPU
141_swan-2077219_1280,1280x853,349.7,uint8,.jpg,GPU
142_barn-owl-2550068_1280,1280x720,212.28,uint8,.jpg,GPU
143_spring-bird-2295434_1280,1280x853,247.64,uint8,.jpg,GPU
144_bird-1045954_1280,1280x852,191.3,uint8,.jpg,GPU
145_owl-1576572_1280,1280x853,504.68,uint8,.jpg,GPU
146_owl-1834152_1280,1280x853,144.53,uint8,.jpg,GPU
147_gull-1090835_1280,1280x402,63.01,uint8,.jpg,GPU
148_robin-8446944_1280,1280x852,119.57,uint8,.jpg,GPU
149_bird-9950_1280,1280x800,187.93,uint8,.jpg,GPU
150_grey-crowned-cranes-540657_1280,1280x856,290.02,uint8,.jpg,GPU
152_kingfisher-3159334_1280,1280x853,396.91,uint8,.jpg,GPU
151_kingfisher-2363879_1280,1280x853,92.83,uint8,.jpg,GPU
153_barn-owl-1107397_1280,1280x641,100.42,uint8,.jpg,GPU
154_peafowl-816981_1280,862x1280,285.88,uint8,.jpg,GPU
155_seagull-3465550_1280,1280x879,77.66,uint8,.jpg,GPU
156_bald-eagle-2715461_1280,1280x960,136.57,uint8,.jpg,GPU
158_bird-3183441_1280,1280x853,199.07,uint8,.jpg,GPU
157_peafowl-2363750_1280,1280x848,472.58,uint8,.jpg,GPU
159_peacock-3617474_1280,1280x843,647.79,uint8,.jpg,GPU
160_eagle-1072696_1280,1280x883,192.29,uint8,.jpg,GPU
161_red-kite-50498_1280,1280x649,215.92,uint8,.jpg,GPU
162_duckling-3524213_1280,1280x854,237.23,uint8,.jpg,GPU
163_bird-4051412_1280,853x1280,185.03,uint8,.jpg,GPU
164_parrots-3427188_1280,1280x853,283.14,uint8,.jpg,GPU
165_bird-2823767_1280,1280x853,235.0,uint8,.jpg,GPU
166_parrot-2756488_1280,1280x853,425.12,uint8,.jpg,GPU
167_beach-1852945_1280,1280x852,295.03,uint8,.jpg,GPU
168_hummingbird-2139279_1280,1280x844,107.08,uint8,.jpg,GPU
169_bird-2295431_1280,1280x853,245.32,uint8,.jpg,GPU
170_flowers-1835619_1280,1280x852,174.71,uint8,.jpg,GPU
171_jay-548381_1280,1280x853,181.87,uint8,.jpg,GPU
172_swan-2107052_1280,1280x732,182.5,uint8,.jpg,GPU
173_swan-4013225_1280,1280x914,182.08,uint8,.jpg,GPU
174_bird-3158784_1280,1280x874,128.27,uint8,.jpg,GPU
175_bald-eagle-521492_1280,1280x744,30.2,uint8,.jpg,GPU
176_eagle-1753002_1280,1280x854,180.0,uint8,.jpg,GPU
177_eagle-339128_1280,1280x848,155.22,uint8,.jpg,GPU
178_dove-2680487_1280,1280x853,97.2,uint8,.jpg,GPU
179_owl-3184032_1280,1280x938,296.52,uint8,.jpg,GPU
180_owl-1845060_1280,1280x853,212.49,uint8,.jpg,GPU
181_peacock-feathers-3013486_1280,1280x854,620.16,uint8,.jpg,GPU
182_swan-122983_1280,1280x853,112.47,uint8,.jpg,GPU
183_swan-293157_1280,1280x850,48.34,uint8,.jpg,GPU
184_kingfisher-1850226_1280,1280x914,146.85,uint8,.jpg,GPU
185_hummingbird-5111260_1280,1039x1280,228.05,uint8,.jpg,GPU
186_gulls-370012_1280,1280x850,162.46,uint8,.jpg,GPU
187_bird-4060696_1280,1280x756,99.05,uint8,.jpg,GPU
