file,original_resolution,output_256,output_512,status
001_owl-50267_1280.jpg,1280x961,./output\input_raster_256x256\001_owl-50267_1280_256.png,./output\input_raster_512x512\001_owl-50267_1280_512.png,success
003_parrot-3601194_640.jpg,640x427,./output\input_raster_256x256\003_parrot-3601194_640_256.png,./output\input_raster_512x512\003_parrot-3601194_640_512.png,success
005_bird-1045954_640.jpg,640x426,./output\input_raster_256x256\005_bird-1045954_640_256.png,./output\input_raster_512x512\005_bird-1045954_640_512.png,success
004_kingfisher-2046453_640.jpg,640x427,./output\input_raster_256x256\004_kingfisher-2046453_640_256.png,./output\input_raster_512x512\004_kingfisher-2046453_640_512.png,success
006_bird-1905255_640.jpg,640x427,./output\input_raster_256x256\006_bird-1905255_640_256.png,./output\input_raster_512x512\006_bird-1905255_640_512.png,success
009_swan-16736_640.jpg,640x427,./output\input_raster_256x256\009_swan-16736_640_256.png,./output\input_raster_512x512\009_swan-16736_640_512.png,success
007_bird-2295436_640.jpg,640x427,./output\input_raster_256x256\007_bird-2295436_640_256.png,./output\input_raster_512x512\007_bird-2295436_640_512.png,success
013_swan-2077219_640.jpg,640x427,./output\input_raster_256x256\013_swan-2077219_640_256.png,./output\input_raster_512x512\013_swan-2077219_640_512.png,success
012_spring-bird-2295434_640.jpg,640x427,./output\input_raster_256x256\012_spring-bird-2295434_640_256.png,./output\input_raster_512x512\012_spring-bird-2295434_640_512.png,success
002_hummingbird-1854225_640.jpg,640x459,./output\input_raster_256x256\002_hummingbird-1854225_640_256.png,./output\input_raster_512x512\002_hummingbird-1854225_640_512.png,success
011_swan-2350668_640.jpg,640x394,./output\input_raster_256x256\011_swan-2350668_640_256.png,./output\input_raster_512x512\011_swan-2350668_640_512.png,success
016_bird-2295431_640.jpg,640x427,./output\input_raster_256x256\016_bird-2295431_640_256.png,./output\input_raster_512x512\016_bird-2295431_640_512.png,success
015_owl-1834152_640.jpg,640x427,./output\input_raster_256x256\015_owl-1834152_640_256.png,./output\input_raster_512x512\015_owl-1834152_640_512.png,success
014_bird-9950_640.jpg,640x400,./output\input_raster_256x256\014_bird-9950_640_256.png,./output\input_raster_512x512\014_bird-9950_640_512.png,success
019_parrot-2756488_640.jpg,640x427,./output\input_raster_256x256\019_parrot-2756488_640_256.png,./output\input_raster_512x512\019_parrot-2756488_640_512.png,success
024_owl-1576572_640.jpg,640x427,./output\input_raster_256x256\024_owl-1576572_640_256.png,./output\input_raster_512x512\024_owl-1576572_640_512.png,success
020_beach-1852945_640.jpg,640x426,./output\input_raster_256x256\020_beach-1852945_640_256.png,./output\input_raster_512x512\020_beach-1852945_640_512.png,success
017_hummingbird-2139279_640.jpg,640x422,./output\input_raster_256x256\017_hummingbird-2139279_640_256.png,./output\input_raster_512x512\017_hummingbird-2139279_640_512.png,success
018_jay-548381_640.jpg,640x427,./output\input_raster_256x256\018_jay-548381_640_256.png,./output\input_raster_512x512\018_jay-548381_640_512.png,success
029_kingfisher-3159334_640.jpg,640x427,./output\input_raster_256x256\029_kingfisher-3159334_640_256.png,./output\input_raster_512x512\029_kingfisher-3159334_640_512.png,success
022_hummingbird-1823829_640.jpg,441x640,./output\input_raster_256x256\022_hummingbird-1823829_640_256.png,./output\input_raster_512x512\022_hummingbird-1823829_640_512.png,success
023_kingfisher-1068684_640.jpg,640x640,./output\input_raster_256x256\023_kingfisher-1068684_640_256.png,./output\input_raster_512x512\023_kingfisher-1068684_640_512.png,success
026_bird-349026_640.jpg,640x427,./output\input_raster_256x256\026_bird-349026_640_256.png,./output\input_raster_512x512\026_bird-349026_640_512.png,success
036_bald-eagle-2715461_640.jpg,640x480,./output\input_raster_256x256\036_bald-eagle-2715461_640_256.png,./output\input_raster_512x512\036_bald-eagle-2715461_640_512.png,success
037_bird-3732867_640.jpg,640x426,./output\input_raster_256x256\037_bird-3732867_640_256.png,./output\input_raster_512x512\037_bird-3732867_640_512.png,success
027_bird-386725_640.jpg,580x640,./output\input_raster_256x256\027_bird-386725_640_256.png,./output\input_raster_512x512\027_bird-386725_640_512.png,success
032_grey-crowned-cranes-540657_640.jpg,640x428,./output\input_raster_256x256\032_grey-crowned-cranes-540657_640_256.png,./output\input_raster_512x512\032_grey-crowned-cranes-540657_640_512.png,success
