original,processed,psnr,ssim,mse,diff_vis,status,diff_path
062_bird-4051412_640_256.png,062_bird-4051412_640_256.png,inf,1.0,0.0,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]]",success,output/raster_comparison_results_256x256\diffs\062_bird-4051412_640_256_diff.jpg
139_rooster-1867562_1280_256.png,139_rooster-1867562_1280_256.png,inf,1.0,0.0,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]]",success,output/raster_comparison_results_256x256\diffs\139_rooster-1867562_1280_256_diff.jpg
038_flowers-1835619_640_256.png,038_flowers-1835619_640_256.png,inf,1.0,0.0,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]]",success,output/raster_comparison_results_256x256\diffs\038_flowers-1835619_640_256_diff.jpg
126_kingfisher-2046453_1280_256.png,126_kingfisher-2046453_1280_256.png,inf,1.0,0.0,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]]",success,output/raster_comparison_results_256x256\diffs\126_kingfisher-2046453_1280_256_diff.jpg
092_peafowl-2363750_640_256.png,092_peafowl-2363750_640_256.png,inf,1.0,0.0,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]]",success,output/raster_comparison_results_256x256\diffs\092_peafowl-2363750_640_256_diff.jpg
053_seagull-3465550_640_256.png,053_seagull-3465550_640_256.png,inf,1.0,0.0,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]]",success,output/raster_comparison_results_256x256\diffs\053_seagull-3465550_640_256_diff.jpg
013_swan-2077219_640_256.png,013_swan-2077219_640_256.png,inf,1.0,0.0,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]]",success,output/raster_comparison_results_256x256\diffs\013_swan-2077219_640_256_diff.jpg
131_hummingbird-5255827_1280_256.png,131_hummingbird-5255827_1280_256.png,inf,1.0,0.0,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]]",success,output/raster_comparison_results_256x256\diffs\131_hummingbird-5255827_1280_256_diff.jpg
156_bald-eagle-2715461_1280_256.png,156_bald-eagle-2715461_1280_256.png,inf,1.0,0.0,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]]",success,output/raster_comparison_results_256x256\diffs\156_bald-eagle-2715461_1280_256_diff.jpg
041_owl-3184032_640_256.png,041_owl-3184032_640_256.png,inf,1.0,0.0,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [128   0   0]
  [128   0   0]
  [128   0   0]]]",success,output/raster_comparison_results_256x256\diffs\041_owl-3184032_640_256_diff.jpg
